Rainfall,Year,Month,Area
34.2,2013,March,Australian Capital Territory
9.6,2013,April,Australian Capital Territory
11.8,2013,May,Australian Capital Territory
89.2,2013,June,Australian Capital Territory
48.2,2013,July,Australian Capital Territory
30.8,2013,August,Australian Capital Territory
73.2,2013,September,Australian Capital Territory
13.8,2013,October,Australian Capital Territory
96.4,2013,November,Australian Capital Territory
23.8,2013,December,Australian Capital Territory
5.8,2014,January,Australian Capital Territory
103.2,2014,February,Australian Capital Territory
69.8,2014,March,Australian Capital Territory
85,2014,April,Australian Capital Territory
22,2014,May,Australian Capital Territory
73.2,2014,June,Australian Capital Territory
20,2014,July,Australian Capital Territory
41,2014,August,Australian Capital Territory
38.6,2014,September,Australian Capital Territory
57.4,2014,October,Australian Capital Territory
30.2,2014,November,Australian Capital Territory
90.9,2014,December,Australian Capital Territory
135.5,2015,January,Australian Capital Territory
17.8,2015,February,Australian Capital Territory
13.6,2015,March,Australian Capital Territory
93.6,2015,April,Australian Capital Territory
23.2,2015,May,Australian Capital Territory
72.2,2015,June,Australian Capital Territory
41.3,2015,July,Australian Capital Territory
73.1,2015,August,Australian Capital Territory
16.8,2015,September,Australian Capital Territory
18,2015,October,Australian Capital Territory
103.5,2015,November,Australian Capital Territory
33.4,2015,December,Australian Capital Territory
99,2016,January,Australian Capital Territory
34.4,2016,February,Australian Capital Territory
36.5,2016,March,Australian Capital Territory
7.1,2016,April,Australian Capital Territory
62.4,2016,May,Australian Capital Territory
148.3,2016,June,Australian Capital Territory
85.2,2016,July,Australian Capital Territory
50,2016,August,Australian Capital Territory
153.6,2016,September,Australian Capital Territory
47.7,2016,October,Australian Capital Territory
105,2016,November,Australian Capital Territory
83.7,2016,December,Australian Capital Territory
10.9,2017,January,Australian Capital Territory
21.3,2017,February,Australian Capital Territory
84.9,2017,March,Australian Capital Territory
44.1,2017,April,Australian Capital Territory
46.5,2017,May,Australian Capital Territory
0.4,2017,June,Australian Capital Territory
20.2,2017,July,Australian Capital Territory
51.1,2017,August,Australian Capital Territory
18.7,2017,September,Australian Capital Territory
72.9,2017,October,Australian Capital Territory
87.9,2017,November,Australian Capital Territory
112.9,2017,December,Australian Capital Territory
41.3,2018,January,Australian Capital Territory
72.2,2018,February,Australian Capital Territory
5.7,2018,March,Australian Capital Territory
19.4,2018,April,Australian Capital Territory
18.7,2018,May,Australian Capital Territory
27.7,2018,June,Australian Capital Territory
6.4,2018,July,Australian Capital Territory
30,2018,August,Australian Capital Territory
35.8,2018,September,Australian Capital Territory
14,2018,October,Australian Capital Territory
79,2018,November,Australian Capital Territory
91.7,2018,December,Australian Capital Territory
66,2019,January,Australian Capital Territory
57.2,2019,February,Australian Capital Territory
72.4,2019,March,Australian Capital Territory
9.6,2019,April,Australian Capital Territory
53.7,2019,May,Australian Capital Territory
20.4,2019,June,Australian Capital Territory
8.7,2019,July,Australian Capital Territory
18.8,2019,August,Australian Capital Territory
29.5,2019,September,Australian Capital Territory
20.5,2019,October,Australian Capital Territory
15,2019,November,Australian Capital Territory
1,2019,December,Australian Capital Territory
30.1,2020,January,Australian Capital Territory
80.6,2020,February,Australian Capital Territory
105,2020,March,Australian Capital Territory
91.9,2020,April,Australian Capital Territory
24.7,2020,May,Australian Capital Territory
55.5,2020,June,Australian Capital Territory
32.4,2020,July,Australian Capital Territory
118.1,2020,August,Australian Capital Territory
57.5,2020,September,Australian Capital Territory
144.9,2020,October,Australian Capital Territory
79.7,2020,November,Australian Capital Territory
42,2020,December,Australian Capital Territory
78.4,2021,January,Australian Capital Territory
107.1,2021,February,Australian Capital Territory
131.3,2021,March,Australian Capital Territory
1.6,2021,April,Australian Capital Territory
62.5,2021,May,Australian Capital Territory
120.7,2021,June,Australian Capital Territory
73.2,2021,July,Australian Capital Territory
46,2021,August,Australian Capital Territory
128.5,2021,September,Australian Capital Territory
55.4,2021,October,Australian Capital Territory
194.1,2021,November,Australian Capital Territory
103.4,2021,December,Australian Capital Territory
112.6,2022,January,Australian Capital Territory
69.3,2022,February,Australian Capital Territory
34,2022,March,Australian Capital Territory
83.2,2022,April,Australian Capital Territory
98.9,2022,May,Australian Capital Territory
30.4,2022,June,Australian Capital Territory
24.5,2022,July,Australian Capital Territory
133.9,2022,August,Australian Capital Territory
84.2,2022,September,Australian Capital Territory
200.6,2022,October,Australian Capital Territory
106.8,2022,November,Australian Capital Territory
43.1,2022,December,Australian Capital Territory
77.2,2023,January,Australian Capital Territory
42.4,2023,February,Australian Capital Territory
86.1,2023,March,Australian Capital Territory
99.6,2023,April,Australian Capital Territory
47.2,2023,May,Australian Capital Territory
47.6,2023,June,Australian Capital Territory
11.1,2023,July,Australian Capital Territory
34.3,2023,August,Australian Capital Territory
18.5,2023,September,Australian Capital Territory
35.6,2023,October,Australian Capital Territory
139.9,2023,November,Australian Capital Territory
