Rainfall,Year,Month,Area
44.2,2002,May,Northern Territory
0,2002,June,Northern Territory
0,2002,July,Northern Territory
0.2,2002,August,Northern Territory
26.6,2002,September,Northern Territory
9,2002,October,Northern Territory
181.4,2002,November,Northern Territory
94.8,2002,December,Northern Territory
466.2,2003,January,Northern Territory
727.2,2003,February,Northern Territory
121.2,2003,March,Northern Territory
12.2,2003,April,Northern Territory
0,2003,May,Northern Territory
5.8,2003,June,Northern Territory
0.2,2003,July,Northern Territory
0,2003,August,Northern Territory
6.4,2003,September,Northern Territory
51.2,2003,October,Northern Territory
200.6,2003,November,Northern Territory
377.2,2003,December,Northern Territory
460.8,2004,January,Northern Territory
350.4,2004,February,Northern Territory
413.8,2004,March,Northern Territory
60.4,2004,April,Northern Territory
54,2004,May,Northern Territory
50.6,2004,June,Northern Territory
0,2004,July,Northern Territory
0.8,2004,August,Northern Territory
2.8,2004,September,Northern Territory
42.6,2004,October,Northern Territory
105.2,2004,November,Northern Territory
236.8,2004,December,Northern Territory
408,2005,January,Northern Territory
265.4,2005,February,Northern Territory
202.2,2005,March,Northern Territory
68.6,2005,April,Northern Territory
0.6,2005,May,Northern Territory
0,2005,June,Northern Territory
0,2005,July,Northern Territory
1.6,2005,August,Northern Territory
1.4,2005,September,Northern Territory
77,2005,October,Northern Territory
184.4,2005,November,Northern Territory
151,2005,December,Northern Territory
410,2006,January,Northern Territory
227.6,2006,February,Northern Territory
455,2006,March,Northern Territory
396.2,2006,April,Northern Territory
22.4,2006,May,Northern Territory
0,2006,June,Northern Territory
0,2006,July,Northern Territory
0,2006,August,Northern Territory
6.4,2006,September,Northern Territory
1.8,2006,October,Northern Territory
43.6,2006,November,Northern Territory
240,2006,December,Northern Territory
206.8,2007,January,Northern Territory
422.6,2007,February,Northern Territory
689.8,2007,March,Northern Territory
18,2007,April,Northern Territory
18.8,2007,May,Northern Territory
4.2,2007,June,Northern Territory
0,2007,July,Northern Territory
0.4,2007,August,Northern Territory
43.6,2007,September,Northern Territory
13.2,2007,October,Northern Territory
143.2,2007,November,Northern Territory
247.8,2007,December,Northern Territory
515.2,2008,January,Northern Territory
670,2008,February,Northern Territory
264.7,2008,March,Northern Territory
10.2,2008,April,Northern Territory
0,2008,May,Northern Territory
0,2008,June,Northern Territory
0,2008,July,Northern Territory
0,2008,August,Northern Territory
5.2,2008,September,Northern Territory
117,2008,October,Northern Territory
54.6,2008,November,Northern Territory
325.8,2008,December,Northern Territory
411,2009,January,Northern Territory
495.8,2009,February,Northern Territory
115.6,2009,March,Northern Territory
63.6,2009,April,Northern Territory
0.4,2009,May,Northern Territory
0,2009,June,Northern Territory
0,2009,July,Northern Territory
0,2009,August,Northern Territory
34.4,2009,September,Northern Territory
33.4,2009,October,Northern Territory
131,2009,November,Northern Territory
457.2,2009,December,Northern Territory
630.2,2010,January,Northern Territory
428.8,2010,February,Northern Territory
198.4,2010,March,Northern Territory
136.6,2010,April,Northern Territory
66.2,2010,May,Northern Territory
0,2010,June,Northern Territory
0.2,2010,July,Northern Territory
0,2010,August,Northern Territory
40.4,2010,September,Northern Territory
157.8,2010,October,Northern Territory
208.2,2010,November,Northern Territory
390.4,2010,December,Northern Territory
627.2,2011,January,Northern Territory
1110.2,2011,February,Northern Territory
231.6,2011,March,Northern Territory
193,2011,April,Northern Territory
0.6,2011,May,Northern Territory
0,2011,June,Northern Territory
0,2011,July,Northern Territory
0,2011,August,Northern Territory
3.2,2011,September,Northern Territory
141,2011,October,Northern Territory
152,2011,November,Northern Territory
227.2,2011,December,Northern Territory
459.2,2012,January,Northern Territory
250.2,2012,February,Northern Territory
572.4,2012,March,Northern Territory
70.2,2012,April,Northern Territory
51.4,2012,May,Northern Territory
0,2012,June,Northern Territory
0,2012,July,Northern Territory
0,2012,August,Northern Territory
21.2,2012,September,Northern Territory
16.8,2012,October,Northern Territory
79.3,2012,November,Northern Territory
203,2012,December,Northern Territory
219.8,2013,January,Northern Territory
398.4,2013,February,Northern Territory
381,2013,March,Northern Territory
101.6,2013,April,Northern Territory
31.6,2013,May,Northern Territory
0.6,2013,June,Northern Territory
0,2013,July,Northern Territory
2.6,2013,August,Northern Territory
0.2,2013,September,Northern Territory
98.6,2013,October,Northern Territory
314.2,2013,November,Northern Territory
210.8,2013,December,Northern Territory
608.6,2014,January,Northern Territory
369,2014,February,Northern Territory
92.4,2014,March,Northern Territory
177.2,2014,April,Northern Territory
8.6,2014,May,Northern Territory
0,2014,June,Northern Territory
0,2014,July,Northern Territory
0,2014,August,Northern Territory
0,2014,September,Northern Territory
14.8,2014,October,Northern Territory
165.8,2014,November,Northern Territory
111,2014,December,Northern Territory
484.6,2015,January,Northern Territory
353.2,2015,February,Northern Territory
230.8,2015,March,Northern Territory
21.2,2015,April,Northern Territory
13.8,2015,May,Northern Territory
0.4,2015,June,Northern Territory
0,2015,July,Northern Territory
0.2,2015,August,Northern Territory
3.4,2015,September,Northern Territory
42.6,2015,October,Northern Territory
84.2,2015,November,Northern Territory
509.4,2015,December,Northern Territory
169.8,2016,January,Northern Territory
150.4,2016,February,Northern Territory
115.8,2016,March,Northern Territory
46.4,2016,April,Northern Territory
62.4,2016,May,Northern Territory
0,2016,June,Northern Territory
0,2016,July,Northern Territory
0,2016,August,Northern Territory
64.4,2016,September,Northern Territory
130.8,2016,October,Northern Territory
208.2,2016,November,Northern Territory
406.8,2016,December,Northern Territory
470.6,2017,January,Northern Territory
624.8,2017,February,Northern Territory
458.4,2017,March,Northern Territory
184.8,2017,April,Northern Territory
0,2017,May,Northern Territory
0,2017,June,Northern Territory
0,2017,July,Northern Territory
0,2017,August,Northern Territory
0,2017,September,Northern Territory
100.6,2017,October,Northern Territory
174.2,2017,November,Northern Territory
183.6,2017,December,Northern Territory
893,2018,January,Northern Territory
364.2,2018,February,Northern Territory
279.4,2018,March,Northern Territory
43.6,2018,April,Northern Territory
0,2018,May,Northern Territory
0,2018,June,Northern Territory
0,2018,July,Northern Territory
0,2018,August,Northern Territory
32.8,2018,September,Northern Territory
30,2018,October,Northern Territory
204,2018,November,Northern Territory
67.2,2018,December,Northern Territory
362,2019,January,Northern Territory
177.4,2019,February,Northern Territory
174,2019,March,Northern Territory
163.2,2019,April,Northern Territory
31.2,2019,May,Northern Territory
0,2019,June,Northern Territory
0,2019,July,Northern Territory
0.2,2019,August,Northern Territory
0,2019,September,Northern Territory
20.2,2019,October,Northern Territory
87.2,2019,November,Northern Territory
58.6,2019,December,Northern Territory
402.4,2020,January,Northern Territory
216.8,2020,February,Northern Territory
278.2,2020,March,Northern Territory
115.6,2020,April,Northern Territory
1.4,2020,May,Northern Territory
1.2,2020,June,Northern Territory
0,2020,July,Northern Territory
0,2020,August,Northern Territory
87.8,2020,September,Northern Territory
167.8,2020,October,Northern Territory
89,2020,November,Northern Territory
389.6,2020,December,Northern Territory
647.6,2021,January,Northern Territory
305.2,2021,February,Northern Territory
158.2,2021,March,Northern Territory
93,2021,April,Northern Territory
0.2,2021,May,Northern Territory
5.2,2021,June,Northern Territory
0,2021,July,Northern Territory
19,2021,August,Northern Territory
24.8,2021,September,Northern Territory
22.6,2021,October,Northern Territory
124,2021,November,Northern Territory
380,2021,December,Northern Territory
393,2022,January,Northern Territory
352.2,2022,February,Northern Territory
178.4,2022,March,Northern Territory
106.8,2022,April,Northern Territory
0.4,2022,May,Northern Territory
5.2,2022,June,Northern Territory
0,2022,July,Northern Territory
0,2022,August,Northern Territory
12.6,2022,September,Northern Territory
154.8,2022,October,Northern Territory
249.8,2022,November,Northern Territory
519,2022,December,Northern Territory
304.6,2023,January,Northern Territory
500.8,2023,February,Northern Territory
160.4,2023,March,Northern Territory
82.8,2023,April,Northern Territory
0,2023,May,Northern Territory
0,2023,June,Northern Territory
0,2023,July,Northern Territory
0,2023,August,Northern Territory
0,2023,September,Northern Territory
1.6,2023,October,Northern Territory
61.4,2023,November,Northern Territory
253.4,2023,December,Northern Territory
73.6,2000,January,Queensland
67.4,2000,February,Queensland
61.2,2000,March,Queensland
60.2,2000,April,Queensland
60.6,2000,May,Queensland
20,2000,June,Queensland
20.8,2000,July,Queensland
19.2,2000,August,Queensland
5.2,2000,September,Queensland
60.2,2000,October,Queensland
79,2000,November,Queensland
52.2,2000,December,Queensland
24.6,2001,January,Queensland
255.6,2001,February,Queensland
212.4,2001,March,Queensland
26,2001,April,Queensland
57.6,2001,May,Queensland
16.4,2001,June,Queensland
31,2001,July,Queensland
10.2,2001,August,Queensland
14.2,2001,September,Queensland
86.4,2001,October,Queensland
172.8,2001,November,Queensland
77.6,2001,December,Queensland
57.2,2002,January,Queensland
37,2002,February,Queensland
106.6,2002,March,Queensland
39.2,2002,April,Queensland
40,2002,May,Queensland
70.8,2002,June,Queensland
0,2002,July,Queensland
107.8,2002,August,Queensland
16.2,2002,September,Queensland
37.4,2002,October,Queensland
51,2002,November,Queensland
143.2,2002,December,Queensland
6.2,2003,January,Queensland
273.6,2003,February,Queensland
95.4,2003,March,Queensland
87.8,2003,April,Queensland
74.8,2003,May,Queensland
78.4,2003,June,Queensland
21.6,2003,July,Queensland
22.6,2003,August,Queensland
7.8,2003,September,Queensland
90.6,2003,October,Queensland
37.1,2003,November,Queensland
147.4,2003,December,Queensland
262.8,2004,January,Queensland
137.2,2004,February,Queensland
154.6,2004,March,Queensland
36.2,2004,April,Queensland
19.2,2004,May,Queensland
8.8,2004,June,Queensland
2,2004,July,Queensland
23.6,2004,August,Queensland
18.6,2004,September,Queensland
56.4,2004,October,Queensland
100.4,2004,November,Queensland
233.2,2004,December,Queensland
107.6,2005,January,Queensland
29.4,2005,February,Queensland
30.8,2005,March,Queensland
48.8,2005,April,Queensland
54.2,2005,May,Queensland
124.5,2005,June,Queensland
12.4,2005,July,Queensland
23.4,2005,August,Queensland
16.6,2005,September,Queensland
121.4,2005,October,Queensland
118.4,2005,November,Queensland
69.6,2005,December,Queensland
172.6,2006,January,Queensland
62.6,2006,February,Queensland
104.8,2006,March,Queensland
27.2,2006,April,Queensland
14.2,2006,May,Queensland
39.4,2006,June,Queensland
31.6,2006,July,Queensland
27.2,2006,August,Queensland
54.4,2006,September,Queensland
22.4,2006,October,Queensland
85.6,2006,November,Queensland
58.8,2006,December,Queensland
66.4,2007,January,Queensland
98,2007,February,Queensland
30.6,2007,March,Queensland
4.8,2007,April,Queensland
37.6,2007,May,Queensland
106.2,2007,June,Queensland
0.6,2007,July,Queensland
118.4,2007,August,Queensland
54.4,2007,September,Queensland
54,2007,October,Queensland
64,2007,November,Queensland
106.2,2007,December,Queensland
216.4,2008,January,Queensland
188.4,2008,February,Queensland
51.8,2008,March,Queensland
19.6,2008,April,Queensland
67.8,2008,May,Queensland
158.4,2008,June,Queensland
98,2008,July,Queensland
16,2008,August,Queensland
67.2,2008,September,Queensland
92,2008,October,Queensland
310,2008,November,Queensland
88.2,2008,December,Queensland
83.8,2009,January,Queensland
155.8,2009,February,Queensland
44.4,2009,March,Queensland
236.6,2009,April,Queensland
416.6,2009,May,Queensland
115.6,2009,June,Queensland
3.6,2009,July,Queensland
2.6,2009,August,Queensland
13.6,2009,September,Queensland
61.8,2009,October,Queensland
37.8,2009,November,Queensland
188.4,2009,December,Queensland
54.6,2010,January,Queensland
244.8,2010,February,Queensland
197,2010,March,Queensland
78.4,2010,April,Queensland
43.8,2010,May,Queensland
10.6,2010,June,Queensland
38.6,2010,July,Queensland
116.4,2010,August,Queensland
96.6,2010,September,Queensland
389,2010,October,Queensland
55.6,2010,November,Queensland
442.4,2010,December,Queensland
391,2011,January,Queensland
180.8,2011,February,Queensland
154.2,2011,March,Queensland
119,2011,April,Queensland
73.6,2011,May,Queensland
12,2011,June,Queensland
12,2011,July,Queensland
69.4,2011,August,Queensland
12.2,2011,September,Queensland
89.2,2011,October,Queensland
19.2,2011,November,Queensland
128.4,2011,December,Queensland
431.6,2012,January,Queensland
168.6,2012,February,Queensland
176,2012,March,Queensland
139.2,2012,April,Queensland
29.6,2012,May,Queensland
122.4,2012,June,Queensland
60.8,2012,July,Queensland
0.2,2012,August,Queensland
6.6,2012,September,Queensland
26.4,2012,October,Queensland
153.4,2012,November,Queensland
49,2012,December,Queensland
417.2,2013,January,Queensland
204.2,2013,February,Queensland
139.8,2013,March,Queensland
156.8,2013,April,Queensland
67.2,2013,May,Queensland
73.4,2013,June,Queensland
62.6,2013,July,Queensland
0,2013,August,Queensland
25.4,2013,September,Queensland
20,2013,October,Queensland
119.2,2013,November,Queensland
34.4,2013,December,Queensland
138.4,2014,January,Queensland
28.6,2014,February,Queensland
198.4,2014,March,Queensland
17.6,2014,April,Queensland
27,2014,May,Queensland
24.2,2014,June,Queensland
9.4,2014,July,Queensland
97.5,2014,August,Queensland
37,2014,September,Queensland
9,2014,October,Queensland
94.6,2014,November,Queensland
128,2014,December,Queensland
230.2,2015,January,Queensland
276.8,2015,February,Queensland
75.2,2015,March,Queensland
182.2,2015,April,Queensland
263.2,2015,May,Queensland
32.8,2015,June,Queensland
7.8,2015,July,Queensland
32.4,2015,August,Queensland
68.2,2015,September,Queensland
52.2,2015,October,Queensland
114.2,2015,November,Queensland
43.8,2015,December,Queensland
107.8,2016,January,Queensland
120.2,2016,February,Queensland
121,2016,March,Queensland
10.8,2016,April,Queensland
27,2016,May,Queensland
311.6,2016,June,Queensland
24.8,2016,July,Queensland
33.2,2016,August,Queensland
99.8,2016,September,Queensland
24,2016,October,Queensland
53,2016,November,Queensland
121.4,2016,December,Queensland
178.8,2017,January,Queensland
30.2,2017,February,Queensland
491.4,2017,March,Queensland
9.4,2017,April,Queensland
40.4,2017,May,Queensland
80.1,2017,June,Queensland
36.8,2017,July,Queensland
7.8,2017,August,Queensland
4.5,2017,September,Queensland
180.4,2017,October,Queensland
153.6,2017,November,Queensland
157.8,2017,December,Queensland
20.4,2018,January,Queensland
254.6,2018,February,Queensland
190.4,2018,March,Queensland
55,2018,April,Queensland
34.2,2018,May,Queensland
29,2018,June,Queensland
20.3,2018,July,Queensland
19.8,2018,August,Queensland
28.9,2018,September,Queensland
207.6,2018,October,Queensland
18.4,2018,November,Queensland
61.9,2018,December,Queensland
16.3,2019,January,Queensland
45.3,2019,February,Queensland
225,2019,March,Queensland
54.2,2019,April,Queensland
40,2019,May,Queensland
47.9,2019,June,Queensland
13.1,2019,July,Queensland
7.9,2019,August,Queensland
3.1,2019,September,Queensland
34.3,2019,October,Queensland
15.4,2019,November,Queensland
76,2019,December,Queensland
165.6,2020,January,Queensland
387.8,2020,February,Queensland
114.8,2020,March,Queensland
10.9,2020,April,Queensland
11.7,2020,May,Queensland
46.1,2020,June,Queensland
54.2,2020,July,Queensland
13.8,2020,August,Queensland
6.3,2020,September,Queensland
121.1,2020,October,Queensland
5.8,2020,November,Queensland
151.2,2020,December,Queensland
138.1,2021,January,Queensland
115.3,2021,February,Queensland
304.2,2021,March,Queensland
126.4,2021,April,Queensland
92,2021,May,Queensland
21,2021,June,Queensland
56.4,2021,July,Queensland
12.7,2021,August,Queensland
7.4,2021,September,Queensland
162.7,2021,October,Queensland
225,2021,November,Queensland
260.8,2021,December,Queensland
150.9,2022,January,Queensland
1096.2,2022,February,Queensland
187.8,2022,March,Queensland
37.5,2022,April,Queensland
282.8,2022,May,Queensland
7.4,2022,June,Queensland
80.9,2022,July,Queensland
20.8,2022,August,Queensland
91.6,2022,September,Queensland
128.4,2022,October,Queensland
75.2,2022,November,Queensland
92.8,2022,December,Queensland
95.7,2023,January,Queensland
53.5,2023,February,Queensland
98.1,2023,March,Queensland
48.7,2023,April,Queensland
89,2023,May,Queensland
4.8,2023,June,Queensland
34.4,2023,July,Queensland
10.2,2023,August,Queensland
17.4,2023,September,Queensland
22.7,2023,October,Queensland
143.4,2023,November,Queensland
123.1,2023,December,Queensland
3,2000,January,South Australia
57,2000,February,South Australia
26.6,2000,March,South Australia
52.4,2000,April,South Australia
54.8,2000,May,South Australia
74.8,2000,June,South Australia
45.8,2000,July,South Australia
50.6,2000,August,South Australia
59,2000,September,South Australia
66.6,2000,October,South Australia
11.6,2000,November,South Australia
11.8,2000,December,South Australia
2,2001,January,South Australia
10.8,2001,February,South Australia
29.6,2001,March,South Australia
17.6,2001,April,South Australia
78,2001,May,South Australia
80.6,2001,June,South Australia
39.4,2001,July,South Australia
63.8,2001,August,South Australia
96.6,2001,September,South Australia
64,2001,October,South Australia
40.4,2001,November,South Australia
12,2001,December,South Australia
16.2,2002,January,South Australia
0.4,2002,February,South Australia
10.2,2002,March,South Australia
7.6,2002,April,South Australia
65,2002,May,South Australia
45,2002,June,South Australia
70.6,2002,July,South Australia
21.4,2002,August,South Australia
29.6,2002,September,South Australia
15.8,2002,October,South Australia
35.2,2002,November,South Australia
6,2002,December,South Australia
23.4,2003,January,South Australia
59.4,2003,February,South Australia
7.2,2003,March,South Australia
19,2003,April,South Australia
66.4,2003,May,South Australia
100.8,2003,June,South Australia
27.8,2003,July,South Australia
55.2,2003,August,South Australia
30.2,2003,September,South Australia
44.6,2003,October,South Australia
7.2,2003,November,South Australia
15.6,2003,December,South Australia
9.6,2004,January,South Australia
4,2004,February,South Australia
21.4,2004,March,South Australia
16,2004,April,South Australia
43,2004,May,South Australia
83.3,2004,June,South Australia
52.6,2004,July,South Australia
67.2,2004,August,South Australia
46.8,2004,September,South Australia
8.2,2004,October,South Australia
35.6,2004,November,South Australia
38.6,2004,December,South Australia
19.4,2005,January,South Australia
12.2,2005,February,South Australia
17.2,2005,March,South Australia
4,2005,April,South Australia
5.2,2005,May,South Australia
94.2,2005,June,South Australia
31.2,2005,July,South Australia
60,2005,August,South Australia
63.2,2005,September,South Australia
85.2,2005,October,South Australia
51.2,2005,November,South Australia
30.4,2005,December,South Australia
20.8,2006,January,South Australia
25.8,2006,February,South Australia
13.4,2006,March,South Australia
34.2,2006,April,South Australia
30,2006,May,South Australia
11.6,2006,June,South Australia
24,2006,July,South Australia
8.6,2006,August,South Australia
26,2006,September,South Australia
0.6,2006,October,South Australia
20.2,2006,November,South Australia
19.4,2006,December,South Australia
38,2007,January,South Australia
1,2007,February,South Australia
18.8,2007,March,South Australia
75,2007,April,South Australia
35.4,2007,May,South Australia
42,2007,June,South Australia
47.2,2007,July,South Australia
16.8,2007,August,South Australia
20.6,2007,September,South Australia
23.2,2007,October,South Australia
32.6,2007,November,South Australia
36,2007,December,South Australia
10.8,2008,January,South Australia
2.8,2008,February,South Australia
11.6,2008,March,South Australia
29,2008,April,South Australia
43.4,2008,May,South Australia
24.4,2008,June,South Australia
39,2008,July,South Australia
71.2,2008,August,South Australia
12.2,2008,September,South Australia
3,2008,October,South Australia
13.2,2008,November,South Australia
31.4,2008,December,South Australia
0,2009,January,South Australia
0.2,2009,February,South Australia
18.6,2009,March,South Australia
51.2,2009,April,South Australia
51.6,2009,May,South Australia
39,2009,June,South Australia
67.8,2009,July,South Australia
33.2,2009,August,South Australia
51.4,2009,September,South Australia
20.4,2009,October,South Australia
32.2,2009,November,South Australia
14.8,2009,December,South Australia
11,2010,January,South Australia
3.2,2010,February,South Australia
19.8,2010,March,South Australia
63.4,2010,April,South Australia
60.2,2010,May,South Australia
61,2010,June,South Australia
46.8,2010,July,South Australia
77.2,2010,August,South Australia
57.8,2010,September,South Australia
34.2,2010,October,South Australia
18.8,2010,November,South Australia
38.2,2010,December,South Australia
16.2,2011,January,South Australia
38.4,2011,February,South Australia
75.4,2011,March,South Australia
17.6,2011,April,South Australia
36.8,2011,May,South Australia
31.2,2011,June,South Australia
55,2011,July,South Australia
60.2,2011,August,South Australia
40.2,2011,September,South Australia
30.2,2011,October,South Australia
17.6,2011,November,South Australia
25.4,2011,December,South Australia
11.4,2012,January,South Australia
16.4,2012,February,South Australia
55.6,2012,March,South Australia
27.2,2012,April,South Australia
53.4,2012,May,South Australia
114.6,2012,June,South Australia
30.8,2012,July,South Australia
52.6,2012,August,South Australia
18.2,2012,September,South Australia
14.4,2012,October,South Australia
13,2012,November,South Australia
7.2,2012,December,South Australia
11.4,2013,January,South Australia
16,2013,February,South Australia
8,2013,March,South Australia
31.2,2013,April,South Australia
60,2013,May,South Australia
77.8,2013,June,South Australia
96.6,2013,July,South Australia
64,2013,August,South Australia
37.2,2013,September,South Australia
15.4,2013,October,South Australia
4.8,2013,November,South Australia
9.8,2013,December,South Australia
13,2014,January,South Australia
96.6,2014,February,South Australia
12.4,2014,March,South Australia
37.4,2014,April,South Australia
59.2,2014,May,South Australia
94.6,2014,June,South Australia
86.8,2014,July,South Australia
18.6,2014,August,South Australia
31,2014,September,South Australia
6,2014,October,South Australia
23.2,2014,November,South Australia
5.6,2014,December,South Australia
30,2015,January,South Australia
0,2015,February,South Australia
2.6,2015,March,South Australia
50,2015,April,South Australia
52.6,2015,May,South Australia
18.6,2015,June,South Australia
42.2,2015,July,South Australia
36.4,2015,August,South Australia
15.6,2015,September,South Australia
5.6,2015,October,South Australia
14.6,2015,November,South Australia
7.8,2015,December,South Australia
35.6,2016,January,South Australia
14.8,2016,February,South Australia
41.6,2016,March,South Australia
8,2016,April,South Australia
64.2,2016,May,South Australia
72,2016,June,South Australia
95.4,2016,July,South Australia
49,2016,August,South Australia
102.2,2016,September,South Australia
59.6,2016,October,South Australia
30.2,2016,November,South Australia
75.8,2016,December,South Australia
39.4,2017,January,South Australia
32.4,2017,February,South Australia
6.6,2017,March,South Australia
24.8,2017,April,South Australia
27.8,2017,May,South Australia
10.6,2017,June,South Australia
75.2,2017,July,South Australia
82.2,2017,August,South Australia
48.4,2017,September,South Australia
26,2017,October,South Australia
9.4,2017,November,South Australia
31.6,2017,December,South Australia
8.8,2018,January,South Australia
2.8,2018,February,South Australia
5.8,2018,March,South Australia
14.6,2018,April,South Australia
29.4,2018,May,South Australia
33.8,2018,June,South Australia
43.6,2018,July,South Australia
71.2,2018,August,South Australia
20.8,2018,September,South Australia
13,2018,October,South Australia
34.8,2018,November,South Australia
21,2018,December,South Australia
0.2,2019,January,South Australia
6.4,2019,February,South Australia
9,2019,March,South Australia
4.2,2019,April,South Australia
75,2019,May,South Australia
83.4,2019,June,South Australia
36.6,2019,July,South Australia
33.8,2019,August,South Australia
37.4,2019,September,South Australia
15.4,2019,October,South Australia
18.2,2019,November,South Australia
3.4,2019,December,South Australia
17.8,2020,January,South Australia
32.8,2020,February,South Australia
4.8,2020,March,South Australia
88.2,2020,April,South Australia
40.8,2020,May,South Australia
48,2020,June,South Australia
15.2,2020,July,South Australia
34,2020,August,South Australia
42.2,2020,September,South Australia
41.4,2020,October,South Australia
10.8,2020,November,South Australia
17,2020,December,South Australia
26,2021,January,South Australia
18.8,2021,February,South Australia
17.6,2021,March,South Australia
11.2,2021,April,South Australia
30.6,2021,May,South Australia
79.6,2021,June,South Australia
85.4,2021,July,South Australia
39.4,2021,August,South Australia
22,2021,September,South Australia
40.6,2021,October,South Australia
29.8,2021,November,South Australia
1.6,2021,December,South Australia
40,2022,January,South Australia
9,2022,February,South Australia
12,2022,March,South Australia
15,2022,April,South Australia
63.2,2022,May,South Australia
60.8,2022,June,South Australia
21.6,2022,July,South Australia
72.2,2022,August,South Australia
49.2,2022,September,South Australia
44.6,2022,October,South Australia
85.4,2022,November,South Australia
8,2022,December,South Australia
17.8,2023,January,South Australia
12.8,2023,February,South Australia
31.2,2023,March,South Australia
45.8,2023,April,South Australia
62.2,2023,May,South Australia
107,2023,June,South Australia
37.4,2023,July,South Australia
37.6,2023,August,South Australia
20.6,2023,September,South Australia
12,2023,October,South Australia
59,2023,November,South Australia
56.2,2023,December,South Australia
47.8,2000,January,Tasmania
24.2,2000,February,Tasmania
15.2,2000,March,Tasmania
6.8,2000,April,Tasmania
36.8,2000,May,Tasmania
19.8,2000,June,Tasmania
68.6,2000,July,Tasmania
59.6,2000,August,Tasmania
38.6,2000,September,Tasmania
67,2000,October,Tasmania
30,2000,November,Tasmania
40.2,2000,December,Tasmania
8.6,2001,January,Tasmania
3.4,2001,February,Tasmania
40.6,2001,March,Tasmania
67.8,2001,April,Tasmania
41.6,2001,May,Tasmania
80.6,2001,June,Tasmania
21.6,2001,July,Tasmania
76,2001,August,Tasmania
33.4,2001,September,Tasmania
129.8,2001,October,Tasmania
126.8,2001,November,Tasmania
51.6,2001,December,Tasmania
76.6,2002,January,Tasmania
15.2,2002,February,Tasmania
19.2,2002,March,Tasmania
6,2002,April,Tasmania
15,2002,May,Tasmania
73.2,2002,June,Tasmania
26.2,2002,July,Tasmania
57.6,2002,August,Tasmania
95.4,2002,September,Tasmania
55,2002,October,Tasmania
20.2,2002,November,Tasmania
5.8,2002,December,Tasmania
11.4,2003,January,Tasmania
9.6,2003,February,Tasmania
119.6,2003,March,Tasmania
44.4,2003,April,Tasmania
58.4,2003,May,Tasmania
66.6,2003,June,Tasmania
37.4,2003,July,Tasmania
104,2003,August,Tasmania
127,2003,September,Tasmania
19.6,2003,October,Tasmania
1.6,2003,November,Tasmania
43.2,2003,December,Tasmania
76.6,2004,January,Tasmania
15.6,2004,February,Tasmania
30,2004,March,Tasmania
58.6,2004,April,Tasmania
45.2,2004,May,Tasmania
67.4,2004,June,Tasmania
64.4,2004,July,Tasmania
87.4,2004,August,Tasmania
32.6,2004,September,Tasmania
26,2004,October,Tasmania
56.4,2004,November,Tasmania
19.2,2004,December,Tasmania
25.2,2005,January,Tasmania
88.2,2005,February,Tasmania
22.6,2005,March,Tasmania
35.6,2005,April,Tasmania
38.8,2005,May,Tasmania
40.6,2005,June,Tasmania
33.4,2005,July,Tasmania
45.2,2005,August,Tasmania
119,2005,September,Tasmania
87.4,2005,October,Tasmania
59.2,2005,November,Tasmania
75,2005,December,Tasmania
35.2,2006,January,Tasmania
21.6,2006,February,Tasmania
19,2006,March,Tasmania
45.2,2006,April,Tasmania
45.6,2006,May,Tasmania
6.6,2006,June,Tasmania
38.4,2006,July,Tasmania
5.8,2006,August,Tasmania
43.8,2006,September,Tasmania
33,2006,October,Tasmania
27,2006,November,Tasmania
25.4,2006,December,Tasmania
121.4,2007,January,Tasmania
24.2,2007,February,Tasmania
24.2,2007,March,Tasmania
26.2,2007,April,Tasmania
31.2,2007,May,Tasmania
29.6,2007,June,Tasmania
36.8,2007,July,Tasmania
59,2007,August,Tasmania
62.8,2007,September,Tasmania
44,2007,October,Tasmania
7,2007,November,Tasmania
83.4,2007,December,Tasmania
2.8,2008,January,Tasmania
64.8,2008,February,Tasmania
30.8,2008,March,Tasmania
19.6,2008,April,Tasmania
6,2008,May,Tasmania
37.2,2008,June,Tasmania
48.4,2008,July,Tasmania
38.6,2008,August,Tasmania
26.8,2008,September,Tasmania
19.6,2008,October,Tasmania
73.4,2008,November,Tasmania
39.2,2008,December,Tasmania
10,2009,January,Tasmania
59.2,2009,February,Tasmania
70,2009,March,Tasmania
63.8,2009,April,Tasmania
53.2,2009,May,Tasmania
144,2009,June,Tasmania
40.2,2009,July,Tasmania
98.4,2009,August,Tasmania
132.8,2009,September,Tasmania
64.6,2009,October,Tasmania
70.2,2009,November,Tasmania
58.6,2009,December,Tasmania
14.4,2010,January,Tasmania
34.8,2010,February,Tasmania
30.4,2010,March,Tasmania
18.2,2010,April,Tasmania
26.6,2010,May,Tasmania
12.4,2010,June,Tasmania
7.4,2010,July,Tasmania
114,2010,August,Tasmania
93.4,2010,September,Tasmania
46.2,2010,October,Tasmania
95.2,2010,November,Tasmania
31,2010,December,Tasmania
59.8,2011,January,Tasmania
54.4,2011,February,Tasmania
45.4,2011,March,Tasmania
125.2,2011,April,Tasmania
23.6,2011,May,Tasmania
64.4,2011,June,Tasmania
50.2,2011,July,Tasmania
53.2,2011,August,Tasmania
45.6,2011,September,Tasmania
61.2,2011,October,Tasmania
55.2,2011,November,Tasmania
52.4,2011,December,Tasmania
56,2012,January,Tasmania
22.6,2012,February,Tasmania
